Vessel_11	310310	7	12	16	33	193.6895833333	-70.2625	41.1889	1	nan	26	4	3.325	14.3	0.5	2019
Vessel_11	310310	7	13	0	39	194.0270833333	-70.1954	41.1279	1	nan	25	4	3.025	14.8	0.38	2019
Vessel_11	310310	7	13	11	2	194.4597222222	-70.211	41.1332	1	nan	26	3	1.9	14.97	0.31	2019
Vessel_11	310310	7	13	13	4	194.5444444444	-70.2021	41.1161	1	nan	25	4	1.75	14.98	0.41	2019
Vessel_11	310310	7	13	21	26	194.8930555556	-70.1808	41.1303	1	nan	26	2	1.1	15.39	0.08	2019
Vessel_11	310310	7	14	0	43	195.0298611111	-70.2081	41.1404	1	nan	26	4	2.425	14.99	0.17	2019
Vessel_11	310310	7	17	11	37	198.4840277778	-70.1334	41.0024	1	nan	24	4	2	16.2	0.63	2019
Vessel_11	310310	7	19	11	29	200.4784722222	-70.286	41.1701	1	nan	28	4	2.05	13.12	0.38	2019
Vessel_11	310310	7	20	11	6	201.4625	-70.1357	40.9958	1	nan	23	3	1.725	15.76	0.21	2019
Vessel_11	310310	7	20	13	45	201.5729166667	-70.1326	41.028	1	nan	23	4	2.125	16.8	0.61	2019
Vessel_11	310310	7	21	12	32	202.5222222222	-70.1515	41.0078	1	nan	24	3	3.225	15.38	0.83	2019
Vessel_11	310310	8	17	1	52	229.0777777778	-68.4989	41.5021	1	nan	91	13	3.275	9.72	0.43	2019
Vessel_14	618910	7	8	14	4	189.5861111111	-70.2865	42.1632	1	nan	24	4	144.55	7.32	0.39	2019
Vessel_14	618910	7	31	14	31	212.6048611111	-70.2841	42.1637	1	nan	24	3	144.05	8.28	0.34	2019
Vessel_14	618910	8	6	14	59	218.6243055556	-70.2837	42.1641	1	nan	25	3	142.425	8.61	0.39	2019
Vessel_14	618910	8	22	15	4	234.6277777778	-70.2848	42.1643	1	nan	24	3	143.9	8.8	0.38	2019
Vessel_14	618910	10	14	14	39	287.6104166667	-70.2829	42.1656	1	nan	25	4	145.1	13.54	0.53	2019
Vessel_14	618910	10	24	13	54	297.5791666667	-70.2831	42.1651	1	nan	24	4	238.85	13.24	0.32	2019
Vessel_14	618910	11	7	14	0	311.5833333333	-70.3041	42.1329	1	nan	64	4	216.4	11.6	0.61	2019
Vessel_16	376670	3	19	19	44	78.8222222222	-69.6621	42.1554	1	nan	219	2	5.517	7.87	0.06	2019
Vessel_16	376670	3	20	21	46	79.9069444444	-69.62	42.3767	1	nan	219	0	6.067	7.96	0.07	2019
Vessel_16	376670	3	27	19	33	86.8145833333	-67.9643	41.9617	1	nan	174	23	3.133	6.31	0.31	2019
Vessel_16	376670	4	11	0	15	101.0104166667	-70.0308	41.5098	1	nan	165	21	1.233	5.82	0.06	2019
